ID,Category,"Sub category","Colour name","Colour code","Low stock","Max stock",Status
139,Yarn,Celtionic,"Maha Rani",#d11010,3,6,Enable
138,"3 Tar",Celtionic,"Maha Rani",#d11010,3,6,Enable
137,"5 Tar",Celtionic,"Maha Rani",#d11010,3,6,Enable
136,Yarn,Polyester,Limbudi,#f1f359,3,6,Enable
135,"3 Tar",Polyester,Limbudi,#f1f359,3,6,Enable
134,"5 Tar",Polyester,Limbudi,#f1f359,3,6,Enable
133,Yarn,Polyester,"D peach",#de7e5d,3,8,Enable
132,"3 Tar",Polyester,"D peach",#de7e5d,3,8,Enable
131,"5 Tar",Polyester,"D peach",#de7e5d,3,8,Enable
130,Yarn,Polyester,"L Pink",#ffb6c1,2,6,Enable
129,"3 Tar",Polyester,"L Pink",#ffb6c1,2,6,Enable
128,"5 Tar",Polyester,"L Pink",#ffb6c1,2,6,Enable
127,Yarn,Polyester,Rust,#7a2f14,2,5,Enable
126,"3 Tar",Polyester,Rust,#7a2f14,2,5,Enable
125,"5 Tar",Polyester,Rust,#7a2f14,2,5,Enable
124,Yarn,Polyester,Mustard,#e1ad01,2,5,Enable
123,"3 Tar",Polyester,Mustard,#e1ad01,2,5,Enable
122,"5 Tar",Polyester,Mustard,#e1ad01,2,5,Enable
121,Yarn,Celtionic,"L MAHENDI",#808000,5,15,Enable
120,"3 Tar",Celtionic,"L MAHENDI",#808000,5,15,Enable
119,"5 Tar",Celtionic,"L MAHENDI",#808000,5,15,Enable
118,Yarn,Celtionic,LEMON,#fff700,5,15,Enable
117,"3 Tar",Celtionic,LEMON,#fff700,5,15,Enable
116,"5 Tar",Celtionic,LEMON,#fff700,5,15,Enable
115,Yarn,"Rani multy","Rani Multy",#cc0058,20,60,Enable
114,"3 Tar","Rani multy","Rani Multy",#cc0058,15,30,Enable
113,"5 Tar","Rani multy","Rani Multy",#cc0058,15,30,Enable
112,Yarn,Multy,"AK Multy",#e65695,12,15,Enable
111,"3 Tar",Multy,"AK Multy",#e65695,6,15,Enable
110,"5 Tar",Multy,"AK Multy",#e65695,6,15,Enable
