ID,"Party Name","Party Address",Route,"Order Date",Type
6090,"BALAJI LACE","4/11 KHATODRA",LIMBAYAT,2026-02-14,Running
6089,"AASHAPURI LACE","38 LALWALA",SONAL,2026-02-14,Complete
6088,"MEHUL JARIWALA","45 SAI KRUPA",SONAL,2026-02-14,Complete
6087,"SAKTI LACE","11 RAMCHODNAGAR",SONAL,2026-02-14,Complete
6086,CASH,CASH,BHATAR,2026-02-14,Complete
6085,"GREEN FEATHER","25 YAMUNA",LIMBAYAT,2026-02-14,Complete
6084,"URVI IMPEX",DHARAM,SONAL,2026-02-14,Complete
6083,"GURUDEV LACE","169 JAY NARAYAN",LIMBAYAT,2026-02-14,Complete
6082,"DEVANSH LACE (M)","MADHU NAGAR",LIMBAYAT,2026-02-14,Complete
6081,"RADHE LACE HOUSE","23 MAHAPRBHU NAGAR",LIMBAYAT,2026-02-14,Complete
6080,"VAIBHAV LACE","97 JAY NARAYAN",LIMBAYAT,2026-02-14,Complete
6079,"SAKTI LACE","11 RAMCHODNAGAR",SONAL,2026-02-14,Complete
6078,"NANA MASTER","NANA BHAI",LIMBAYAT,2026-02-14,Complete
6077,CASH,CASH,BHATAR,2026-02-14,Complete
6076,"DHANASSHREE CREATION","R K ESTET",LIMBAYAT,2026-02-14,Complete
6075,"MAHALAXMI DORI","68 MAHALAXMI",SONAL,2026-02-13,Complete
6074,"KRUSHNA TEXTILE","MANILA DAYING",LIMBAYAT,2026-02-13,Complete
6073,"DEVANSH LACE (M)","MADHU NAGAR",LIMBAYAT,2026-02-13,Complete
6072,"DEVENDRA KINARIWALA",KHAODRA,LIMBAYAT,2026-02-13,Complete
6071,"SAKTI LACE","11 RAMCHODNAGAR",SONAL,2026-02-13,Complete
6070,"SHREE SAI KRUPA TEXTILE","41 RADHEKRISHNA",BHATAR,2026-02-13,Complete
6069,"YASI IMPEX","61 SONAL",SONAL,2026-02-13,Complete
6068,"DEVANSH LACE",JIVASERI,LIMBAYAT,2026-02-13,Complete
6067,"AUMKAR ETERPRISE","200 AMIBICA",SONAL,2026-02-13,Complete
6066,"K T C","KTC ANJANAFARM",LIMBAYAT,2026-02-13,Complete
6065,"AASHAPURI LACE","38 LALWALA",SONAL,2026-02-13,Complete
6064,"GREEN FEATHER","25 YAMUNA",LIMBAYAT,2026-02-13,Complete
6063,"DHANASSHREE CREATION","R K ESTET",LIMBAYAT,2026-02-13,Complete
6062,"MAYURI LACE(BHID B)","219 BHIBHANJAN",SONAL,2026-02-13,Complete
6061,"BHAGYALAXMI LACE","51 MAHAPRABHU NAGAR",LIMBAYAT,2026-02-13,Complete
6060,CASH,CASH,BHATAR,2026-02-12,Complete
6059,"NANA MASTER","NANA BHAI",LIMBAYAT,2026-02-12,Complete
6058,"SAI LACE","92 sonal 1st flor",SONAL,2026-02-12,Complete
6057,"NISHIKA LACE","211 JARI KASAB",LIMBAYAT,2026-02-12,Complete
6056,"DEVANSH LACE (M)","MADHU NAGAR",LIMBAYAT,2026-02-12,Complete
6055,"GANESH LACE","78 THAKOR NAGAR",SONAL,2026-02-12,Complete
6054,"KRUSHNA TEXTILE","MANILA DAYING",LIMBAYAT,2026-02-12,Complete
6053,"GURUDEV LACE","169 JAY NARAYAN",LIMBAYAT,2026-02-12,Complete
6052,"DEVANSH LACE",JIVASERI,LIMBAYAT,2026-02-12,Complete
6051,"MAHALAXMI DORI","68 MAHALAXMI",SONAL,2026-02-12,Complete
6050,"DIMPAL LACE","171  DIVYANAND",SONAL,2026-02-12,Complete
6049,"MAHASAKTI ENTERPRISE","99- SONAL",SONAL,2026-02-12,Complete
6048,"AKSHAY NARROW FAB (3/11)","3/11 KHATODRA",LIMBAYAT,2026-02-12,Complete
6047,"GANESH LACE","78 THAKOR NAGAR",SONAL,2026-02-11,Complete
6046,"JANAK KUMAR ","216 AATMANAND",SONAL,2026-02-11,Complete
6045,"RADHE LACE HOUSE","23 MAHAPRBHU NAGAR",LIMBAYAT,2026-02-11,Complete
6044,"JAY MAHALAXMI LACE","3 RAMKRISHNA",SONAL,2026-02-11,Complete
6043,"K T C","KTC ANJANAFARM",LIMBAYAT,2026-02-11,Complete
6042,"AUMKAR ETERPRISE","200 AMIBICA",SONAL,2026-02-11,Complete
6041,"CHARLI CREATION","2/2939 BHARUCHAWADI",LIMBAYAT,2026-02-11,Complete
6040,"AKASH LACE","868 SONAL-2",SONAL,2026-02-11,Complete
6039,"SAKTI LACE","11 RAMCHODNAGAR",SONAL,2026-02-11,Complete
6038,"RADHE LACE HOUSE","23 MAHAPRBHU NAGAR",LIMBAYAT,2026-02-11,Complete
6037,"DHANASSHREE CREATION","R K ESTET",LIMBAYAT,2026-02-11,Complete
6036,"BHAGYALAXMI LACE","51 MAHAPRABHU NAGAR",LIMBAYAT,2026-02-11,Complete
6035,"DEVANSH LACE (M)","MADHU NAGAR",LIMBAYAT,2026-02-11,Complete
6034,"BHAVINI CREATION","69 NAVSARJAN",BHATAR,2026-02-11,Complete
6033,"NISHIKA LACE","211 JARI KASAB",LIMBAYAT,2026-02-11,Complete
6032,"URVI IMPEX",DHARAM,SONAL,2026-02-11,Complete
6031,"RADHA LACE","158 AMBIKA",SONAL,2026-02-11,Complete
6030,"GREEN FEATHER","25 YAMUNA",LIMBAYAT,2026-02-10,Complete
6029,"AKSHAY NARROW FAB (3/11)","3/11 KHATODRA",LIMBAYAT,2026-02-10,Complete
6028,"MAHALAXMI DORI","68 MAHALAXMI",SONAL,2026-02-10,Complete
6027,"SILVER LACE","53 LALWALA ",SONAL,2026-02-10,Complete
6026,"URVI IMPEX",DHARAM,SONAL,2026-02-10,Complete
6025,"DEVENDRA KINARIWALA",KHAODRA,LIMBAYAT,2026-02-10,Complete
6024,"NANA MASTER","NANA BHAI",LIMBAYAT,2026-02-10,Complete
6023,"SHIVAY ENTERPRISE","24 MODELSCHOOL",LIMBAYAT,2026-02-10,Complete
6022,"DEVANSH LACE",JIVASERI,LIMBAYAT,2026-02-10,Complete
6021,"DEVANSH LACE (M)","MADHU NAGAR",LIMBAYAT,2026-02-10,Complete
6020,"NEHA CREATION","91-92 SONAL",SONAL,2026-02-10,Complete
6019,CASH,CASH,BHATAR,2026-02-09,Complete
6018,"DIMPAL LACE","171  DIVYANAND",SONAL,2026-02-09,Complete
6017,"DHANASSHREE CREATION","R K ESTET",LIMBAYAT,2026-02-09,Complete
